popularity,english_title,release_year,runtime,tmdb_id,imdbRating,imdbVotes,rtAudienceRating,poster,backdrop,imdb_id,created_at,run_id,rtAudienceVotes,rt_id,lb_id,lbRating,lbVotes,tmdbRating,tmdbVotes,rtCriticRating,rtCriticVotes
0.1637,Bull Run,2023,79,1180848,6.3,29,,https://image.tmdb.org/t/p/w500/e3MmfomS7to9U3Kqv1xyKTwrTal.jpg,https://image.tmdb.org/t/p/w1280/4jySMXDngNBZVspWRfN3hYY39KH.jpg,tt16302704,2026-02-18 14:30:00.230817+00,228,,/m/bull_run,tmdb/1180848,,,65,2,,9
10.802,She Rides Shotgun,2025,120,1196573,8,12344,92,https://image.tmdb.org/t/p/w500/nvqW8mOm818QDio3GKKmPLK8kXj.jpg,https://image.tmdb.org/t/p/w1280/ytCi1wg6YHpYcFRWCO2jpzN31Kf.jpg,tt27986457,2026-01-16 11:52:01.778288+00,153,50,/m/she_rides_shotgun,tmdb/1196573,3.4,20912,70,237,88,74
32.6686,We Bury the Dead,2026,95,1198984,5.6,7602,46,https://image.tmdb.org/t/p/w500/xZqo0yPARmyF8TACVNyaOACkYWG.jpg,https://image.tmdb.org/t/p/w1280/vbkW4KerpshPZnP84w9qwSfYrhu.jpg,tt29713093,2026-01-16 11:52:01.778288+00,220,500,,tmdb/1198984,2.8,37562,63,101,86,95
38.0516,Send Help,2026,113,1198994,7.2,28240,87,https://image.tmdb.org/t/p/w500/kL4MgAIZIYX3sCeG34N0XfVhCtt.jpg,https://image.tmdb.org/t/p/w1280/hO2jx1H3XafR7Y8QbFgVH1sHTY9.jpg,tt8036976,2026-01-31 16:29:13.35286+00,242,1000,/m/send_help,tmdb/1198994,3.5,370793,71,303,93,261
15.9317,Night of the Zoopocalypse,2025,91,1205229,7,1789,81,https://image.tmdb.org/t/p/w500/nCejOVZcOxKS27nnbh28NKXOdXF.jpg,https://image.tmdb.org/t/p/w1280/h2SEtzuABKmcZAnKBJ1za3kETTY.jpg,tt29544253,2026-01-16 11:52:01.778288+00,229,50,/m/night_of_the_zoopocalypse,tmdb/1205229,2.9,5252,66,76,88,34
20.6456,Rental Family,2025,110,1208348,8,30210,96,https://image.tmdb.org/t/p/w500/A5lswNlytTUrnMWsuD0NFfhZlf3.jpg,https://image.tmdb.org/t/p/w1280/ufuabtiOem0kHeYz6b8x8MjBb2L.jpg,tt14142060,2026-01-16 11:52:01.778288+00,229,10,/m/rental_family,tmdb/1208348,3.9,189094,78,380,87,194
3.7283,Rebuilding,2025,96,1211442,10,1471,88,https://image.tmdb.org/t/p/w500/7cDCGKBA6XANFDw4km9GvDnFBHw.jpg,https://image.tmdb.org/t/p/w1280/zfhAzbZXg24Z9INMcRfkr45mH91.jpg,tt29361963,2026-02-18 14:30:00.230817+00,229,50,/m/rebuilding,tmdb/1211442,3.6,13617,69,33,93,72
7.9536,Border 2,2026,199,1213898,5,17687,83,https://image.tmdb.org/t/p/w500/AmrCgmDPEJ6QxllS1rhjYwgO9Wb.jpg,https://image.tmdb.org/t/p/w1280/fzo85eKFEjfmJ781gubJQjpQAwF.jpg,tt30387012,2026-01-31 16:29:13.35286+00,220,100,/m/border_2,tmdb/1213898,3,2149,74,8,75,12
23.6587,Nuremberg,2025,149,1214931,8,60801,95,https://image.tmdb.org/t/p/w500/7cWTGH2svfNHWVRjsfKIBob9pDj.jpg,https://image.tmdb.org/t/p/w1280/xsO1Qgru8sETLTcVla8MrqxOVr0.jpg,tt29567915,2026-01-16 11:52:01.778288+00,229,1000,/m/nuremberg_2025,tmdb/1214931,3.5,162131,73,599,72,193
4.3098,Chickenhare and the Secret of the Groundhog,2025,88,1215532,6.9,145,95,https://image.tmdb.org/t/p/w500/cUCwWxHF1bRfqeY7beZfsvT7WBR.jpg,https://image.tmdb.org/t/p/w1280/8E5UnnGpiYgOQUhCaHkP5FUOHwK.jpg,tt31260224,2026-01-31 17:28:28.820221+00,229,0,/m/chickenhare_and_the_secret_of_the_groundhog,tmdb/1215532,3.2,513,73,5,95,1
19.1342,The Secret Agent,2025,161,1220564,8,27852,83,https://image.tmdb.org/t/p/w500/iLE2YOmeboeTDC7GlOp1dzh1VFo.jpg,https://image.tmdb.org/t/p/w1280/eeGRpU64sIrRApjWXvTpK5Lep2K.jpg,tt27847051,2026-01-16 11:52:01.778288+00,229,250,/m/the_secret_agent_2025,tmdb/1220564,3.9,346768,75,361,98,172
2.4358,Sound of Falling,2025,148,1221061,7,3557,95,https://image.tmdb.org/t/p/w500/mv2edAI0vmheVVcv4mIVW5X8GNP.jpg,https://image.tmdb.org/t/p/w1280/cXr5YOMJKZBkokgNogHjEyFZLc6.jpg,tt28690468,2026-01-16 11:52:01.778288+00,144,50,/m/sound_of_falling,tmdb/1221061,3.7,30228,67,53,93,70
36.186,Five Nights at Freddy's 2,2025,104,1228246,5.2,33012,84,https://image.tmdb.org/t/p/w500/udAxQEORq2I5wxI97N2TEqdhzBE.jpg,https://image.tmdb.org/t/p/w1280/54BOXpX2ieTXMDzHymdDMnUIzYG.jpg,tt30274401,2026-01-16 11:52:01.778288+00,154,5000,/m/five_nights_at_freddys_2,tmdb/1228246,2.6,673419,67,747,16,129
