imdb_id,english_title,hebrew_title,release_date,en_poster,backdrop,tmdb_id,old_uuid,id,created_at,run_id,release_year,en_trailer
tt33586629,Primavera,פרימוורה,2026-06-04,https://image.tmdb.org/t/p/w500/6Giqb3a9ITCKhlkNeWtfzGWOxU0.jpg,https://image.tmdb.org/t/p/w500/tjRhxRyaF7LgGnNP2lrAIo3cQSb.jpg,1365683,46d1e8c1-06bf-42fa-a92f-0c76434d6f58,5c60849f-0b9f-4dda-88f6-e50a122c9401,2026-02-03 16:31:12.954975+00,218,,shW9i6k8cB0
tt31851518,The Choral,המקהלה,2026-04-09,https://image.tmdb.org/t/p/w500/yQtms7CSM0CE0W6dYbLLAATb5rL.jpg,https://image.tmdb.org/t/p/w500/4zyeIE8ceP95gehaPsgqamEYRuy.jpg,1262815,db1c84ce-5c95-4e91-ac79-7124a70e735c,63cd7773-ae0f-4f78-a12a-1a75bb03a2cc,2026-02-03 16:31:12.954975+00,218,,shW9i6k8cB0
tt32565993,The Sheep Detectives,בלשי צמרת,2026-05-07,https://image.tmdb.org/t/p/w500/6QtL9rl3Zb4d8qW6EJ4qO5hSSfU.jpg,https://image.tmdb.org/t/p/w500/wbgxx8xa2ogbMuN4lNvJ9tqqpMp.jpg,1301421,c8e76e04-eb33-4e4a-a086-7c511b437e18,6848367d-5a2a-4ba8-b520-e35ac32b6da8,2026-02-04 09:57:11.996231+00,219,,shW9i6k8cB0
tt15678738,David,דויד הסרט,2026-02-26,https://image.tmdb.org/t/p/w500/7lFG1WrCwAxBfyGK8ahlBVzXno7.jpg,https://image.tmdb.org/t/p/w500/d10VuEOMroY7ngQi2FUhJH72k0e.jpg,1167307,dc436da9-bde0-4af6-97b7-b57524d5a011,6c145cad-1ad8-496e-82ca-f76d699d00fe,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt34886821,La Grazia,החסד,2026-03-05,https://image.tmdb.org/t/p/w500/d86ctnc1Kl9xZHJ1xBPcwTKmaGa.jpg,https://image.tmdb.org/t/p/w500/rSG0XYZYyImip9cl0SybFMBC4Vd.jpg,1397364,405f9ca1-a7af-4376-8598-9b88a7db59c2,6ce99b8d-7852-466f-bdf5-a096bc0f31cf,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt5450640,Five Seconds Before Disaster,חמש שניות,2026-03-12,https://image.tmdb.org/t/p/w500/vZcbaURdRI1VY1Z0VoZysWGXBH3.jpg,,1442160,2f7a2383-c867-43bb-a934-9fd88c8350ef,6ee17e7f-98fd-4584-8a3a-104304ac5e8b,2026-02-18 13:59:34.930009+00,227,,shW9i6k8cB0
tt4357198,How to Make a Killing,עשיר רצח,2026-03-12,https://image.tmdb.org/t/p/w500/yQ7OP2HYxl9YmkWNMkuUA2YaF5.jpg,https://image.tmdb.org/t/p/w500/vuaPZ4IbsIRr2wDARZT7rFQ5CgP.jpg,467905,c45ec9b7-6c2e-4c10-9a2c-9e570046b900,7534c0b4-3bd6-43de-b03a-558537fb1a40,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt31411349,Colours of Time,צבעי הזמן,2026-04-02,https://image.tmdb.org/t/p/w500/vaZBgB1Z3dkdu0LuvId0VoEHCBA.jpg,https://image.tmdb.org/t/p/w500/lUUQXoOyR6BQD9HatKz63wec2QT.jpg,1235304,6bc6b51d-3723-4e96-af48-ed9e738bcd19,76a83448-33ac-40c5-97f8-fe33bcffb79a,2026-02-03 16:31:12.954975+00,218,,shW9i6k8cB0
tt36352591,"You, Me & Tuscany","אני, אתה וטוסקנה",2026-04-09,https://image.tmdb.org/t/p/w500/mJS0IF7Af3WpPRhSTDT6rGpiLzw.jpg,https://image.tmdb.org/t/p/w500/wibJMOz0iVS4Goa4sXsfLYjrDFr.jpg,1455079,e7c3b427-8baa-494a-ba30-ba5a8174a8c5,775d5052-2214-49b7-9cd4-234a13da9e24,2026-01-28 14:14:14.285878+00,156,,shW9i6k8cB0
tt27773954,The Thing with Feathers,הדבר עם הנוצות,2026-03-26,https://image.tmdb.org/t/p/w500/j3kM0tMW7EQaOrit0JW9NvoPPrp.jpg,https://image.tmdb.org/t/p/w500/A7yTpiCFMWMZVf5kPXuga3WvfCH.jpg,1127628,c9542928-471d-4ef1-94c2-fb2f4a1097b1,7ae95fcd-cf09-470c-a098-75b105932b39,2026-02-03 16:31:12.954975+00,218,,shW9i6k8cB0
tt3783958,La La Land,לה לה לנד,2026-04-16,https://image.tmdb.org/t/p/w500/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,https://image.tmdb.org/t/p/w500/nlPCdZlHtRNcF6C9hzUH4ebmV1w.jpg,313369,16a93f5d-2f9e-482e-aa66-3205dde3a6a9,7e3406cb-4280-49c1-9c0d-16b22d0c8b9f,2026-02-10 19:46:38.973754+00,220,,shW9i6k8cB0
tt39018643,Billie Eilish - Hit Me Hard and Soft: The Tour (Live in 3D),בילי אייליש סיבוב ההופעות hit me hard 3d,2026-03-19,https://image.tmdb.org/t/p/w500/bLt8nyHylaewbLZtCl7C0UpaRU4.jpg,https://image.tmdb.org/t/p/w500/jjgwF5wuCyOlnlJKOJfyYfFeZcE.jpg,1515899,8a8e9c96-6fd6-42bc-a736-4c41d53d2aaf,82b5738d-fad7-47ab-a029-c66b8f75f5e7,2026-01-16 11:25:46.539229+00,144,,shW9i6k8cB0
tt37798634,Whistle,השריקה,2026-03-12,https://image.tmdb.org/t/p/w500/jovDlv8PovRC42gDzKcYSEpgcJz.jpg,,1526225,a7447a60-a3e4-44d2-975a-e52886afc55b,84cb0620-9caa-4ed1-bcc6-9eb2ceeccfa0,2026-02-10 19:46:38.973754+00,220,,shW9i6k8cB0
